_id,INSPECT_ID,SR_NUM,BEG_DATE,END_DATE,STATUS
15346,173173,HCE-20171214-5204,2018-01-05T00:00:00,2018-01-08T00:00:00,
15347,173271,HCE-20180102-1003,2018-01-08T00:00:00,2018-01-11T00:00:00,
15348,173417,HCE-20180108-1453,2018-01-22T00:00:00,2018-01-23T00:00:00,NO CAUSE FOR ACTION INSPECTION
15349,173501,HCE-20180122-3674,2018-01-24T00:00:00,2018-01-26T00:00:00,
15350,173345,HCE-20171122-5050,2018-01-16T00:00:00,2018-01-17T00:00:00,
15351,173480,HCE-20170921-4524,2018-01-24T00:00:00,2018-01-25T00:00:00,
15352,173364,HCE-20180112-3604,2018-01-18T00:00:00,2018-01-18T00:00:00,NO CAUSE FOR ACTION INSPECTION
15353,173359,HCE-20171108-4960,2018-01-17T00:00:00,2018-01-18T00:00:00,
15354,173309,HCE-20171222-5254,2018-01-08T00:00:00,2018-01-16T00:00:00,
15355,173242,HCE-20170426-2463,2018-01-08T00:00:00,2018-01-10T00:00:00,
15356,173510,HCE-20171222-5252,2018-01-26T00:00:00,2018-01-26T00:00:00,
15357,173548,HCE-20171207-5148,2018-01-29T00:00:00,2018-01-31T00:00:00,
15358,173546,HCE-20171025-4844,2018-01-29T00:00:00,2018-01-31T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15359,173535,HCE-20170407-2324,2018-01-24T00:00:00,2018-01-30T00:00:00,
15360,173517,HCE-20171213-5187,2018-01-24T00:00:00,2018-01-29T00:00:00,
15361,173357,HCE-20171023-4817,2018-01-17T00:00:00,2018-01-17T00:00:00,
15362,173051,HCE-20171219-5240,2017-12-29T00:00:00,2018-01-02T00:00:00,NO CAUSE FOR ACTION INSPECTION
15363,173360,HCE-20171020-4791,2018-01-17T00:00:00,2018-01-18T00:00:00,
15364,173540,HCE-20171218-5228,2018-01-30T00:00:00,2018-01-31T00:00:00,NO CAUSE FOR ACTION INSPECTION
